process,process location,flows,amount,type_of_flow,unit,inpu_t,output
"market group for electricity, high voltage",USA,"market group for electricity, high voltage",1.0,production,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"market group for electricity, high voltage",USA,"market group for electricity, high voltage",0.023999999999999997,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, at BIGCC power plant, no CCS",USA,"electricity production, at BIGCC power plant, no CCS",0.001525109199431655,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'e9d8059a31a24f94b4a678a2201594a8')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, at wood burning power plant 20 MW, truck 25km, no CCS",USA,"electricity production, at wood burning power plant 20 MW, truck 25km, no CCS",0.01504373460325047,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '2be56b3409354216b3c8d9e90ca7375a')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, at power plant/hard coal, IGCC, no CCS",USA,"electricity production, at power plant/hard coal, IGCC, no CCS",0.008319325591550724,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '7dc59cc5a6e4449ebbb2e26ab8b3e30f')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, at power plant/lignite, IGCC, no CCS",USA,"electricity production, at power plant/lignite, IGCC, no CCS",0.008319325591550724,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '7447fc3acc364966a273efb00f5a8e95')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hard coal",US-NPCC,"electricity production, hard coal",0.0008602795650728412,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '1d4b8d267971667dd237befe3d36fd39')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hard coal",US-MRO,"electricity production, hard coal",0.014821052168013084,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '24136254056cba24727c11891318d0e1')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hard coal",US-TRE,"electricity production, hard coal",0.014485906574739069,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '39c959d7b23493c79433ffa82a1971a3')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hard coal",US-RFC,"electricity production, hard coal",0.050397627402084096,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '4e21206c7391169b5f4f85e906739e7c')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, lignite",US-RFC,"electricity production, lignite",0.05539107911485828,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '8f4c3162eda8814a3fe1d9e3c0dd7f61')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hard coal",US-SERC,"electricity production, hard coal",0.04405445298185184,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'b811f57a615947a2e3b0ceab61b4b7e2')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hard coal",US-WECC,"electricity production, hard coal",0.020597525857800187,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'c8d3978b0f7a1002bdd39c14492ed757')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, lignite",US-TRE,"electricity production, lignite",0.015921156696584598,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'd5b84530fe5d8b98e70de6f0b48404be')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, lignite",US-SERC,"electricity production, lignite",0.048419833147750176,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'd7c31e7a8500e99770c62f1010fa8b90')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, lignite",US-NPCC,"electricity production, lignite",0.0009453717254430616,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'e66363df22a7cc8c195b1847eb88a8e2')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, lignite",US-WECC,"electricity production, lignite",0.02263832175877353,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'e6fd98d20beb931905ea7d716b487ea1')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, lignite",US-MRO,"electricity production, lignite",0.016289816849186015,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'e74c158349ec236ea643b5b970c40f5c')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, combined cycle power plant",US-RFC,"electricity production, natural gas, combined cycle power plant",0.0460636580216823,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '42ec2b78ed348481938bd113cd12132d')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, combined cycle power plant",US-ASCC,"electricity production, natural gas, combined cycle power plant",0.00103456197134544,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '4799b0c087977bf7484c13d2acf8486f')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, combined cycle power plant",US-WECC,"electricity production, natural gas, combined cycle power plant",0.05968140059822678,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '88114f70c8a408486c6ce6ce210539f7')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, combined cycle power plant",US-NPCC,"electricity production, natural gas, combined cycle power plant",0.03414567511376156,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '8ab006ce9bea53fc2d63f76677257e48')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, combined cycle power plant",US-MRO,"electricity production, natural gas, combined cycle power plant",0.0006147521135515466,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'c0ce86f92d6e561ba8014aeb7c1f9d39')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, combined cycle power plant",US-TRE,"electricity production, natural gas, combined cycle power plant",0.05104922071169491,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'cbb2ba42d6d14ad2f1be7a7e96e3ec1a')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, combined cycle power plant",US-SERC,"electricity production, natural gas, combined cycle power plant",0.07539648244395339,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'e1decd238dc3c7962992f9ec1e199f45')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, conventional power plant",US-TRE,"electricity production, natural gas, conventional power plant",0.022344989181965313,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '1babbdc04f35fbca14c67fea53b30666')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, conventional power plant",US-MRO,"electricity production, natural gas, conventional power plant",0.002679168483668153,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '27918d24fbd9a94813c5cad9537ef2e7')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, conventional power plant",US-NPCC,"electricity production, natural gas, conventional power plant",0.014946161137512385,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '54335279dae9ed5d15592010af612860')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, conventional power plant",US-SERC,"electricity production, natural gas, conventional power plant",0.03300220824842357,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '71a1b6d4416c63b0448335e525fdcd67')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, conventional power plant",US-ASCC,"electricity production, natural gas, conventional power plant",0.00045291397386401167,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '7c3073d53618d7dcc748516845d91850')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, conventional power plant",US-WECC,"electricity production, natural gas, conventional power plant",0.026123676361810923,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '9d45b46768cbdeb3a6cb3cd4a399c6ab')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, natural gas, conventional power plant",US-RFC,"electricity production, natural gas, conventional power plant",0.020162863396569163,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'e085c2a1d0bee9074e20f1d4d72962f4')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, deep geothermal",US-HICC,"electricity production, deep geothermal",0.0003443491089679248,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '10e5e1e373dc6d98b635315a972f2ce6')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, deep geothermal",US-WECC,"electricity production, deep geothermal",0.020188620940334044,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '87eae42893a7085340e80e433058ffc6')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, reservoir, alpine region",US-MRO,"electricity production, hydro, reservoir, alpine region",0.0004933637070594589,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '1cbd1fc670e4d45e8aeb5b321c8f10c2')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, run-of-river",US-MRO,"electricity production, hydro, run-of-river",0.0019736602302662387,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '4dd50b261b3dd0e068be41146f979b94')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, reservoir, alpine region",US-WECC,"electricity production, hydro, reservoir, alpine region",0.007595846778154152,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '523ec9645639f74c35848317a94d45a1')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, reservoir, non-alpine region",US-SERC,"electricity production, hydro, reservoir, non-alpine region",0.0003215035485130807,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '5c221458ae8f825c66834ec10d59631e')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, reservoir, alpine region",US-SERC,"electricity production, hydro, reservoir, alpine region",0.0011596240729792858,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '6c8a37ea381c3a213509f5371d7d4602')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, run-of-river",US-NPCC,"electricity production, hydro, run-of-river",0.005025657179319534,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '76e7fad16de7c700a6b56b42b7a2b497')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, run-of-river",US-TRE,"electricity production, hydro, run-of-river",9.318471828405168e-05,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '799f9eda812916f397b87435bdfb5a4a')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, reservoir, alpine region",US-RFC,"electricity production, hydro, reservoir, alpine region",0.00027679418973263083,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '7e6a19287002a76bce942d8c6e0c0c6d')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, reservoir, alpine region",US-NPCC,"electricity production, hydro, reservoir, alpine region",0.0012563425038296645,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'b758004be39ae9d1fcdb64529b8a3563')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, run-of-river",US-ASCC,"electricity production, hydro, run-of-river",0.0002513223440160971,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'bda4a31076303aac5e3c14b05fb99038')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, run-of-river",US-RFC,"electricity production, hydro, run-of-river",0.0011071608053749191,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'bfae0f18531984bbaddfeeda45ba84aa')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, reservoir, alpine region",US-ASCC,"electricity production, hydro, reservoir, alpine region",6.281712519148324e-05,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'd9393ee9be8612c8b3d262249c091a15')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
