process,process location,flows,amount,type_of_flow,unit,inpu_t,output
"electricity production, hydro, run-of-river",US-SERC,"electricity production, hydro, run-of-river",0.004638308837638794,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'edfa265c70610e65c9a70f806fe660d7')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, hydro, run-of-river",US-WECC,"electricity production, hydro, run-of-river",0.030383351217116494,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'fc2fb0ba022d8bbb99021501f16899be')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-RFC,"electricity production, oil",0.00022933650922057246,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '0715d6a9ba155d20e8ff913f5f06febc')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-ASCC,"electricity production, oil",7.429376168711482e-05,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '073433a5b62825ca01ede7d83532f3b4')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-MRO,"electricity production, oil",2.1243555869459376e-05,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '0b10aa7b30ae7cc4cfc614f13e750451')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-SERC,"electricity production, oil",0.0003936513060009212,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '135e2c0c85449723c0125f3a78b365f7')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-HICC,"electricity production, oil",0.0005504545692141683,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '56ae295d57b4b61b34de091159b85d65')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-WECC,"electricity production, oil",7.015654983960962e-05,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '963231666de17114462e0e5b423a647c')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-TRE,"electricity production, oil",1.0797829502708633e-05,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'a73d01593c8937b31431174622f64691')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-NPCC,"electricity production, oil",6.0913842520714996e-05,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'b4ae83b924ea4d7039a7063e9920dd88')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-RFC,"electricity production, oil",0.00038107846938852623,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '0715d6a9ba155d20e8ff913f5f06febc')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-ASCC,"electricity production, oil",0.00012345070170058194,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '073433a5b62825ca01ede7d83532f3b4')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-MRO,"electricity production, oil",3.5299489743768294e-05,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '0b10aa7b30ae7cc4cfc614f13e750451')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-SERC,"electricity production, oil",0.0006541131966883915,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '135e2c0c85449723c0125f3a78b365f7')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-HICC,"electricity production, oil",0.0009146663364545488,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '56ae295d57b4b61b34de091159b85d65')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-WECC,"electricity production, oil",0.00011657607731678175,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '963231666de17114462e0e5b423a647c')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-TRE,"electricity production, oil",1.794228207970543e-05,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'a73d01593c8937b31431174622f64691')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, oil",US-NPCC,"electricity production, oil",0.00010121787390616433,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'b4ae83b924ea4d7039a7063e9920dd88')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, solar tower power plant, 20 MW",US-WECC,"electricity production, solar tower power plant, 20 MW",0.0002036558120062089,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '2d088e5f79238efef680353143d1c5ff')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, solar thermal parabolic trough, 50 MW",US-WECC,"electricity production, solar thermal parabolic trough, 50 MW",0.0005163468957977784,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '379119c684a44d2a865c61f256cac926')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, solar thermal parabolic trough, 50 MW",US-SERC,"electricity production, solar thermal parabolic trough, 50 MW",3.016044952089824e-05,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'bb34b73b80b5ded0610d63e79ce2223a')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, photovoltaic, commercial",US,"electricity production, photovoltaic, commercial",0.05941780451784966,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '6d428d663a2e46348d86976c42ab9cc9')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, 1-3MW turbine, offshore",RoW,"electricity production, wind, 1-3MW turbine, offshore",0.0007569268318851065,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'cecad37515942a149b84d361be52a1c7')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, <1MW turbine, onshore",US-RFC,"electricity production, wind, <1MW turbine, onshore",0.0013616889474069886,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '0329173a9060360df75de290c852c407')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, <1MW turbine, onshore",US-MRO,"electricity production, wind, <1MW turbine, onshore",0.0026479537899248475,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '1621527ee65fe59664ef39f2523d5d54')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, 1-3MW turbine, onshore",US-TRE,"electricity production, wind, 1-3MW turbine, onshore",0.031165293618020257,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '1c9cbc3cd73038474565ab5cab51469d')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, >3MW turbine, onshore",US-MRO,"electricity production, wind, >3MW turbine, onshore",0.0002716170341933537,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '28adde581c066426fcb31638c7501931')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, 1-3MW turbine, onshore",US-HICC,"electricity production, wind, 1-3MW turbine, onshore",0.0003656944492336145,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '3a935fc326015393dc42717f73b68517')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, >3MW turbine, onshore",US-TRE,"electricity production, wind, >3MW turbine, onshore",0.0002684464073350655,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '47b3b370f03b4697585b3a913afd275f')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, 1-3MW turbine, onshore",US-MRO,"electricity production, wind, 1-3MW turbine, onshore",0.031587099913961726,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '54f992eb92c8e2174f7dea718c7803e8')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, <1MW turbine, onshore",US-TRE,"electricity production, wind, <1MW turbine, onshore",0.0026125936719338157,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '65fb0ee2416dc48e2b0ae9f0cc72255d')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, 1-3MW turbine, onshore",US-RFC,"electricity production, wind, 1-3MW turbine, onshore",0.016243412176276163,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '692ce126c947205e5400848bfa10479d')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, 1-3MW turbine, onshore",US-NPCC,"electricity production, wind, 1-3MW turbine, onshore",0.004132927743719577,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '75562a28ff76e659bcdbe55f233d1e8e')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, >3MW turbine, onshore",US-RFC,"electricity production, wind, >3MW turbine, onshore",0.0001395075817646797,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '8271a599a27cd605088ea04ce7a0b226')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, <1MW turbine, onshore",US-NPCC,"electricity production, wind, <1MW turbine, onshore",0.0003464642753616832,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '8860b4ffb52e04068e09654f252ae5f5')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, 1-3MW turbine, onshore",US-SERC,"electricity production, wind, 1-3MW turbine, onshore",0.0012499397576979604,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'a8b700ce9172db715cfd380e133c82b3')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, 1-3MW turbine, onshore",US-WECC,"electricity production, wind, 1-3MW turbine, onshore",0.03847132942284929,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'b7012b3fb018c3639b3edfaf409d0b4f')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, <1MW turbine, onshore",US-WECC,"electricity production, wind, <1MW turbine, onshore",0.003225584390498503,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'f53686293988b8c85d250d5fbeb5bf43')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"electricity production, wind, >3MW turbine, onshore",US-WECC,"electricity production, wind, >3MW turbine, onshore",0.0003308020688813996,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', 'fad5c6ace2ed2b60d40db395d4ae77a3')","('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')"
"market group for electricity, low voltage",USA,"market group for electricity, low voltage",1.0,production,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '444164f4dac84fa088b015e79b6cdd46')","('ecoinvent_2030_SSP2-Base', '444164f4dac84fa088b015e79b6cdd46')"
"market for sulfur hexafluoride, liquid",RoW,"market for sulfur hexafluoride, liquid",2.99e-09,technosphere,kilogram,"('ecoinvent_2030_SSP2-Base', '9e5dea1483743c4dad411b6135397957')","('ecoinvent_2030_SSP2-Base', '444164f4dac84fa088b015e79b6cdd46')"
"distribution network construction, electricity, low voltage",RoW,"distribution network construction, electricity, low voltage",8.74e-08,technosphere,kilometer,"('ecoinvent_2030_SSP2-Base', '93507e0b670dbc66fd947360699943a5')","('ecoinvent_2030_SSP2-Base', '444164f4dac84fa088b015e79b6cdd46')"
"electricity production, photovoltaic, residential",US,"electricity production, photovoltaic, residential",0.01777961059670246,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '8813ce817fcb4e5999a3416d61c7863d')","('ecoinvent_2030_SSP2-Base', '444164f4dac84fa088b015e79b6cdd46')"
"market group for electricity, medium voltage",USA,"market group for electricity, medium voltage",1.0052043465153349,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '6dfbc2ca716f4e93baeae16911f99bae')","('ecoinvent_2030_SSP2-Base', '444164f4dac84fa088b015e79b6cdd46')"
"market group for electricity, low voltage",USA,"market group for electricity, low voltage",0.023999999999999997,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '444164f4dac84fa088b015e79b6cdd46')","('ecoinvent_2030_SSP2-Base', '444164f4dac84fa088b015e79b6cdd46')"
"market group for electricity, medium voltage",USA,"market group for electricity, medium voltage",1.0,production,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '6dfbc2ca716f4e93baeae16911f99bae')","('ecoinvent_2030_SSP2-Base', '6dfbc2ca716f4e93baeae16911f99bae')"
"market group for electricity, high voltage",USA,"market group for electricity, high voltage",1.0052,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '89b4634087d04f35b2d6bd19b07d7c16')","('ecoinvent_2030_SSP2-Base', '6dfbc2ca716f4e93baeae16911f99bae')"
"market group for electricity, medium voltage",USA,"market group for electricity, medium voltage",0.0033000000000000004,technosphere,kilowatt hour,"('ecoinvent_2030_SSP2-Base', '6dfbc2ca716f4e93baeae16911f99bae')","('ecoinvent_2030_SSP2-Base', '6dfbc2ca716f4e93baeae16911f99bae')"
"market for sulfur hexafluoride, liquid",RoW,"market for sulfur hexafluoride, liquid",5.4e-08,technosphere,kilogram,"('ecoinvent_2030_SSP2-Base', '9e5dea1483743c4dad411b6135397957')","('ecoinvent_2030_SSP2-Base', '6dfbc2ca716f4e93baeae16911f99bae')"
"transmission network construction, electricity, medium voltage",RoW,"transmission network construction, electricity, medium voltage",1.8628e-08,technosphere,kilometer,"('ecoinvent_2030_SSP2-Base', 'dda8d9309795ddd1a7ccbcd806c44d36')","('ecoinvent_2030_SSP2-Base', '6dfbc2ca716f4e93baeae16911f99bae')"
