abbv,full
Gwp100,Global Warming
Fetpinf,Freshwater Ecotoxicity
Htpinf,Human Toxicity
Mdp,Metal depletion
Nltp,Natural land transformation
Pmfp,Particulate Matter Exposure
Tap100,Terrestrial Acidification
Wdp,Water depletion
Mep,Marine Eutrophication
Odpinf,Ozone Depletion
Pofp,Photochemical Ozone Formation
Tetpinf,Toxicity - Terrestrial ecosystems
Irp_He,Ionzing Radiation - Human health
Acidification,Terrestrial Acidification
Ecotoxicity,Freshwater Ecotoxicity
Eutrophication,Marine Eutrophication
Global Warming,Global Warming
Carcinogenics,Carcinogenics
Ozone Depletion,Ozone Depletion
Non-Carcinogenics,Non-Carcinogenics
"Respiratory Effects, Average","Respiratory Effects, Average"
Photochemical Oxidation,Photochemical Oxidation
Global Warming Potential (Gwp1000),Global Warming
Freshwater Ecotoxicity Potential (Fetp),Freshwater Ecotoxicity
Human Toxicity Potential (Htpc),Human Toxicity
Ionising Radiation Potential (Irp),Ionzing Radiation - Human health
Marine Eutrophication Potential (Mep),Marine Eutrophication
Surplus Ore Potential (Sop),Surplus Ore Potential
Ozone Depletion Potential (Odpinfinite),Ozone Depletion
Particulate Matter Formation Potential (Pmfp),Particulate Matter Exposure
Photochemical Oxidant Formation Potential: Humans (Hofp),Photochemical Ozone Formation
Terrestrial Acidification Potential (Tap),Terrestrial Acidification
Terrestrial Ecotoxicity Potential (Tetp),Toxicity - Terrestrial ecosystems
Water Consumption Potential (Wcp),Water depletion